DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,MES,ANO,FEX_C,P455,P456,P456S1,P457,P458,P459,P460,P461,P759,P758,P758S1A1,P758S2A1,P758S4A1,P757,P757S2A1,P757S3A1,P464,P465,P466,P467,P468,P469,AREA
7031228,1,1,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031228,1,2,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031228,1,3,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031229,1,1,1,04,2022,751.41382752,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031230,1,1,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031230,1,2,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031230,1,3,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031231,1,1,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031231,1,2,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031231,1,3,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031232,1,1,1,04,2022,461.88156076,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031232,1,2,1,04,2022,461.88156076,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031233,1,1,1,04,2022,795.44918408,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031233,1,2,1,04,2022,795.44918408,1,,,1,1,1,1,,13,3,,,,,,,4,,,,,2,99
7031234,1,1,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,8,2,2,99
7031234,1,2,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031234,1,3,1,04,2022,687.89601937,2,1,1,2,2,1,1,,17,3,,,,,,,1,6,1,,,2,99
7031234,1,4,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031235,1,1,1,04,2022,1351.100334,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031236,1,1,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031236,1,2,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031237,1,1,1,04,2022,751.41382752,2,1,2,2,2,2,,3,19,3,,,,,,,4,4,2,,,2,99
7031238,1,1,1,04,2022,783.85392431,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031238,1,2,1,04,2022,783.85392431,2,1,1,1,1,2,,1,18,1,120000,,,,,,1,6,1,,,2,99
7031238,1,3,1,04,2022,783.85392431,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,1,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,2,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,3,1,04,2022,1486.0735303,2,1,1,2,2,1,1,,3,3,,,,,,,5,6,1,,,2,99
7031239,1,4,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031241,1,1,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031241,1,2,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031241,1,3,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031242,1,1,1,04,2022,910.8575959,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031242,1,2,1,04,2022,910.8575959,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031243,1,1,1,04,2022,1460.636973,2,1,1,1,1,2,,3,19,1,50000,,,,,,1,1,1,,,2,99
7031243,1,2,1,04,2022,1460.636973,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031244,1,1,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031244,1,2,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031244,1,3,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031244,1,4,1,04,2022,448.53197657,2,1,2,3,2,2,,1,9,3,,,,,,,4,4,2,,,2,99
7031245,1,1,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031245,1,2,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031246,1,1,1,04,2022,1351.100334,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031248,1,1,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031248,1,2,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031248,1,3,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031249,1,1,1,04,2022,550.88763963,1,,,1,1,2,,1,17,3,,,,,,,6,,,,,2,99
7031249,1,2,1,04,2022,550.88763963,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031250,1,1,1,04,2022,832.20036821,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031250,1,2,1,04,2022,832.20036821,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031251,1,1,1,04,2022,1084.9814508,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031252,1,1,2,04,2022,55.464422065,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031253,1,1,2,04,2022,115.58098625,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031253,1,2,2,04,2022,115.58098625,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031254,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031255,1,1,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031255,1,2,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031256,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031257,1,1,2,04,2022,79.323232283,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031258,1,1,2,04,2022,79.849667267,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031259,1,1,2,04,2022,152.82909325,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031259,1,2,2,04,2022,152.82909325,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031260,1,1,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031260,1,2,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031260,1,3,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031261,1,1,2,04,2022,77.313588975,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031261,1,2,2,04,2022,77.313588975,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031262,1,1,2,04,2022,96.070806989,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031263,1,1,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031263,1,2,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031263,1,5,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031264,1,1,2,04,2022,125.5576444,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031264,1,2,2,04,2022,125.5576444,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031265,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031266,1,1,2,04,2022,101.69883418,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031266,1,2,2,04,2022,101.69883418,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031267,1,1,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031267,1,2,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031268,1,1,2,04,2022,91.72217603,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031268,1,2,2,04,2022,91.72217603,2,2,,,,,,,,,,,,,,,,,,5,1,2,99
7031269,1,1,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031269,1,2,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031269,1,3,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031270,1,1,2,04,2022,55.464422065,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,1,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,2,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,3,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,1,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,2,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031272,1,3,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,4,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031273,1,1,2,04,2022,125.03120941,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031273,1,2,2,04,2022,125.03120941,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031275,1,1,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031275,1,2,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031275,1,3,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031276,1,1,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031276,1,2,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031277,1,1,2,04,2022,115.93369796,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031277,1,2,2,04,2022,115.93369796,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031278,1,1,2,04,2022,116.56541994,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031278,1,2,2,04,2022,116.56541994,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031279,1,1,2,04,2022,124.45017298,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031280,1,1,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031280,1,2,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031281,1,1,2,04,2022,115.28496839,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031282,1,1,2,04,2022,108.02226514,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031282,1,2,2,04,2022,108.02226514,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031283,1,1,2,04,2022,151.30089526,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031283,1,2,2,04,2022,151.30089526,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031284,1,1,2,04,2022,180.5631895,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031284,1,2,2,04,2022,180.5631895,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031287,1,1,2,04,2022,172.68850763,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031287,1,2,2,04,2022,172.68850763,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031288,1,1,2,04,2022,173.39919486,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031288,1,2,2,04,2022,173.39919486,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031289,1,1,2,04,2022,172.92652563,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031290,1,1,2,04,2022,107.79705081,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031291,1,1,2,04,2022,169.50281993,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031291,1,2,2,04,2022,169.50281993,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
